French,English
être,be
il,he
avoir,to have
son,her
que,that
se,se
qui,Who
ce,This
pas,not
vous,YOU
plus,more
dire,say
nous,We
mais,but
bien,GOOD
où,Or
tout,All
y,y
voir,see
tu,you
ou,Or
leur,their
deux,two
venir,come
quand,When
grand,big
elle,She
falloir,to need
autre,other
par,by
parler,talk
aimer,to like
trouver,find
chose,thing
croire,believe
an,year
après,After
demander,ask
lui,him
vie,life
mettre,put
quelque,some
main,hand
regarder,look
aucun,none
vers,towards
rester,stay
entendre,hear
travailler,to work
attendre,to wait for
heure,hour
dernier,last
partir,leave
arriver,arrive
cela,that
comprendre,to understand
ainsi,Thus
trop,too much
premier,first
sembler,seem
